[2026-05-05 11:15:35.944480+00:00] User: ali | Method: POST | Path: /admin/reservations/avis/add/ | Status: 200
[2026-05-05 11:15:45.394341+00:00] User: ali | Method: POST | Path: /admin/reservations/avis/add/ | Status: 200
[2026-05-05 11:15:58.018838+00:00] User: ali | Method: POST | Path: /admin/reservations/avis/add/ | Status: 302
[2026-05-05 11:16:39.960296+00:00] User: ali | Method: POST | Path: /admin/reservations/avis/add/ | Status: 200
[2026-05-05 11:16:44.451502+00:00] User: ali | Method: POST | Path: /admin/reservations/avis/add/ | Status: 200
[2026-05-05 11:16:48.129298+00:00] User: ali | Method: POST | Path: /admin/reservations/avis/add/ | Status: 302
[2026-05-05 11:17:37.981691+00:00] User: ali | Method: POST | Path: /admin/accounts/user/ | Status: 200
[2026-05-05 11:17:39.243385+00:00] User: ali | Method: POST | Path: /admin/accounts/user/ | Status: 302
[2026-05-05 11:21:19.142320+00:00] User: ali | Method: POST | Path: /admin/services/service/add/ | Status: 302
[2026-05-05 11:22:09.816062+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-05 11:22:34.038894+00:00] User: aliox | Method: POST | Path: /api/reservations/8/annuler/ | Status: 200
[2026-05-05 11:43:05.473434+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-05 12:15:04.464912+00:00] User: gerd | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-05 12:16:06.802699+00:00] User: gerd | Method: POST | Path: /api/reservations/10/annuler/ | Status: 200
[2026-05-05 12:16:08.328679+00:00] User: gerd | Method: POST | Path: /api/reservations/10/annuler/ | Status: 200
[2026-05-05 12:16:34.618145+00:00] User: gerd | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-05 14:39:54.868278+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/9/change/ | Status: 302
[2026-05-05 14:40:15.284453+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/9/change/ | Status: 302
[2026-05-05 14:40:35.159301+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 201
[2026-05-05 16:06:11.758981+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/11/change/ | Status: 302
[2026-05-05 16:07:03.306755+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-05 16:08:34.463879+00:00] User: ali | Method: POST | Path: /admin/accounts/user/12/change/ | Status: 302
[2026-05-05 16:08:57.696964+00:00] User: ali | Method: POST | Path: /admin/accounts/user/7/change/ | Status: 302
[2026-05-05 16:09:20.635420+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-05 16:10:23.974160+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/12/change/ | Status: 302
[2026-05-05 16:11:15.218377+00:00] User: aliox | Method: POST | Path: /api/reservations/13/annuler/ | Status: 200
[2026-05-05 16:11:17.026706+00:00] User: aliox | Method: POST | Path: /api/reservations/13/annuler/ | Status: 200
[2026-05-05 16:36:17.420813+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/add/ | Status: 200
[2026-05-05 16:36:24.058431+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/add/ | Status: 302
[2026-05-05 16:36:46.253768+00:00] User: khalil | Method: POST | Path: /api/reservations/14/confirmer/ | Status: 200
[2026-05-05 16:43:35.882205+00:00] User: ali | Method: POST | Path: /admin/reservations/reservation/14/change/ | Status: 302
[2026-05-05 16:43:41.531007+00:00] User: khalil | Method: POST | Path: /api/reservations/14/refuser/ | Status: 200
[2026-05-06 12:15:10.263436+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 201
[2026-05-06 12:32:38.991978+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 500
[2026-05-06 12:32:41.055968+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 500
[2026-05-06 12:32:41.951207+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 500
[2026-05-06 12:32:43.570225+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 500
[2026-05-06 12:39:25.010475+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-06 12:39:34.507721+00:00] User: aliox | Method: POST | Path: /api/reservations/15/annuler/ | Status: 200
[2026-05-06 12:39:35.722691+00:00] User: aliox | Method: POST | Path: /api/reservations/16/annuler/ | Status: 200
[2026-05-06 12:39:35.818406+00:00] User: aliox | Method: POST | Path: /api/reservations/16/annuler/ | Status: 200
[2026-05-06 12:39:36.248264+00:00] User: aliox | Method: POST | Path: /api/reservations/17/annuler/ | Status: 200
[2026-05-06 12:39:36.717057+00:00] User: aliox | Method: POST | Path: /api/reservations/18/annuler/ | Status: 200
[2026-05-06 12:39:37.198257+00:00] User: aliox | Method: POST | Path: /api/reservations/19/annuler/ | Status: 200
[2026-05-06 12:39:56.677790+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-06 12:40:18.131917+00:00] User: khalil | Method: POST | Path: /api/reservations/20/confirmer/ | Status: 200
[2026-05-06 12:46:35.903738+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-06 12:46:45.254397+00:00] User: aliox | Method: POST | Path: /api/reservations/21/annuler/ | Status: 200
[2026-05-06 12:46:58.840022+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-06 12:47:36.257484+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-06 12:52:19.980738+00:00] User: aliox | Method: POST | Path: /api/reservations/22/annuler/ | Status: 200
[2026-05-06 12:52:20.946310+00:00] User: aliox | Method: POST | Path: /api/reservations/23/annuler/ | Status: 200
[2026-05-06 12:52:30.030365+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-06 17:13:42.877378+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-06 17:14:44.736272+00:00] User: aliox | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-06 17:15:44.073180+00:00] User: aliox | Method: POST | Path: /api/reservations/25/annuler/ | Status: 200
[2026-05-06 17:17:36.412482+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:40.012674+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:44.492854+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:45.772259+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:47.178601+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:47.365571+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:47.873729+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:48.093563+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:48.278736+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:48.451967+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:50.976805+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:51.550409+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:51.788421+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:17:56.783568+00:00] User: aliox | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:24:37.666270+00:00] User: Compte | Method: POST | Path: /api/reservations/ | Status: 201
[2026-05-06 17:25:02.997769+00:00] User: khalil | Method: POST | Path: /api/reservations/27/confirmer/ | Status: 200
[2026-05-06 17:28:30.581433+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:34.691197+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:35.615528+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:35.871773+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:36.114129+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:36.301804+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:36.501665+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
[2026-05-06 17:28:36.713795+00:00] User: Compte | Method: POST | Path: /api/avis/ | Status: 400
